Sungai Petani,kdh-3,ext-145,
Telui Kiri,kdh-3,ext-146,
Ah,kdh-4,ext-147,
Binjal,kdh-4,ext-148,
Bukit Tinggi,kdh-4,ext-149,
Gelong,kdh-4,ext-150,
Husba,kdh-4,ext-151,
Jerlun,kdh-4,ext-152,
Jitra,kdh-4,ext-153,
Kepelu,kdh-4,ext-154,
Kodiang,kdh-4,ext-155,
Malau,kdh-4,ext-156,
Naga,kdh-4,ext-157,
Padang Perahu,kdh-4,ext-158,
Pelubang,kdh-4,ext-159,
Pering,kdh-4,ext-160,
Putat,kdh-4,ext-161,
Sanglang,kdh-4,ext-162,
Sungai Laka,kdh-4,ext-163,
Temin,kdh-4,ext-164,
Tunjang,kdh-4,ext-165,
Wang Tepus,kdh-4,ext-166,
Bagan Sena,kdh-5,ext-167,
Junjong,kdh-5,ext-168,
Karangan,kdh-5,ext-169,
Keladi,kdh-5,ext-170,
Lunas,kdh-5,ext-171,
Mahang,kdh-5,ext-172,
Naga Lilit,kdh-5,ext-173,
Padang China,kdh-5,ext-174,
Padang Meha,kdh-5,ext-175,
Sedim,kdh-5,ext-176,
Sidam Kanan,kdh-5,ext-177,
Sungai Seluang,kdh-5,ext-178,
Sungai Ular,kdh-5,ext-179,
Terap,kdh-5,ext-180,
Ayer Hangat,kdh-6,ext-181,
Bohor,kdh-6,ext-182,
Kedawang,kdh-6,ext-183,
Kuah,kdh-6,ext-184,
Padang Masirat,kdh-6,ext-185,
Ulu Melaka,kdh-6,ext-186,
Batang Tunggang Kanan,kdh-7,ext-187,
Batang Tunggang Kiri,kdh-7,ext-188,
Belimbing Kanan,kdh-7,ext-189,
Belimbing Kiri,kdh-7,ext-190,
Kurong Hitam,kdh-7,ext-191,
Padang Temak,kdh-7,ext-192,
Padang Terap Kanan,kdh-7,ext-193,kdh-7
Padang Terap Kiri,kdh-7,ext-194,kdh-7
Pedu,kdh-7,ext-195,
Tekai,kdh-7,ext-196,
Tolak,kdh-7,ext-197,
Ayer Puteh,kdh-8,ext-198,
Bukit Raya,kdh-8,ext-199,
Guar Kepayang,kdh-8,ext-200,
Jenun,kdh-8,ext-201,
Padang Kerbau,kdh-8,ext-202,
Padang Peliang,kdh-8,ext-203,
Padang Pusing,kdh-8,ext-204,
Rambai,kdh-8,ext-205,
Tobiar,kdh-8,ext-206,
Jeneri,kdh-11,ext-207,
Sok,kdh-11,ext-208,
Dulang,kdh-12,ext-209,
Sala Besar,kdh-12,ext-210,
Singkir,kdh-12,ext-211,
Sungai Daun,kdh-12,ext-212,
Ayer Keroh,mlk-1,ext-375,
Melaka Tengah,mlk-1,ext-213,
Batu Kikir,ngs-1,ext-372,
Juasseh,ngs-1,ext-370,
Linggi,ngs-3,ext-214,
Lubok China,ngs-4,ext-215,
Pedas,ngs-4,ext-216,
Nilai,ngs-5,ext-217,
Kuala Medang,phg-7,ext-218,
Gambang,phg-8,ext-369,
Manjung,prk-4,ext-222,
Pantai Remis,prk-4,ext-223,
Belukar Semang,prk-6,ext-224,
Durian Pipit,prk-6,ext-225,
Gerik,prk-6,ext-226,
Hulu Perak,prk-6,ext-227,
Kenering,prk-6,ext-228,
Kerunai,prk-6,ext-229,
Temelong,prk-6,ext-230,
Jaya Baharu,prk-7,ext-231,
Teja,prk-7,ext-232,
Ulu Kinta,prk-7,ext-233,
Sungai Raia,prk-8,ext-235,
Tanjong Tualang,prk-8,ext-236,
Kampong Gajah,prk-9,ext-237,prk-9
Pasir Panjang,prk-9,ext-238,
Pasir Salak,prk-9,ext-239,
Chegar Galah,prk-10,ext-240,
Kampung Buaya,prk-10,ext-241,
Kota Lama Kanan,prk-10,ext-242,
Kota Lama Kiri,prk-10,ext-243,
Lubok Merbau,prk-10,ext-244,
Pulau Kamiri,prk-10,ext-245,
Saiong,prk-10,ext-246,
Senggang,prk-10,ext-247,
Changkat Jong,prk-12,ext-249,
Durian Sebatang,prk-12,ext-250,
Labu Kubong,prk-12,ext-251,
Rungkup,prk-12,ext-253,
Sungai Durian,prk-12,ext-254,
Telok Baharu,prk-12,ext-255,
Belanja,prk-13,ext-256,
Pengkalan Baharu,prk-13,ext-259,
Kuala Kurau,prk-14,ext-260,
Batu Kurau,prk-17,ext-263,
Ulu Selama,prk-17,ext-265,
